"행정구역","2017년06월_계_총인구수","2017년06월_계_연령구간인구수","2017년06월_계_0~9세","2017년06월_계_10~19세","2017년06월_계_20~29세","2017년06월_계_30~39세","2017년06월_계_40~49세","2017년06월_계_50~59세","2017년06월_계_60~69세","2017년06월_계_70~79세","2017년06월_계_80~89세","2017년06월_계_90~99세","2017년06월_계_100세 이상"
"대구광역시  (2700000000)","2,481,985","2,481,985","205,169","267,084","331,668","329,663","425,423","424,850","275,822","154,338","60,564","6,815","589"
"대구광역시 중구 (2711000000)","78,925","78,925","5,590","5,700","10,952","11,438","11,737","12,355","10,443","7,312","2,911","400","87"
"대구광역시 동구 (2714000000)","351,153","351,153","30,064","30,756","43,304","50,105","55,298","58,771","45,172","26,580","9,903","1,098","102"
"대구광역시 서구 (2717000000)","196,507","196,507","10,718","15,683","26,517","23,618","30,189","39,348","28,786","15,654","5,333","577","84"
"대구광역시 남구 (2720000000)","154,776","154,776","8,584","11,869","20,617","20,302","23,456","26,947","22,297","14,140","5,847","651","66"
"대구광역시 북구 (2723000000)","439,420","439,420","38,795","51,175","59,852","58,540","79,759","73,374","43,436","24,478","8,978","964","69"
"대구광역시 수성구 (2726000000)","443,906","443,906","34,357","61,098","58,502","48,726","83,286","73,849","45,112","26,131","11,393","1,362","90"
"대구광역시 달서구 (2729000000)","587,053","587,053","49,606","68,107","84,223","77,487","103,212","103,836","59,022","28,852","11,427","1,215","66"
"대구광역시 달성군 (2771000000)","230,245","230,245","27,455","22,696","27,701","39,447","38,486","36,370","21,554","11,191","4,772","548","25"
