"행정구역","2015년12월_계_총인구수","2015년12월_계_연령구간인구수","2015년12월_계_0~9세","2015년12월_계_10~19세","2015년12월_계_20~29세","2015년12월_계_30~39세","2015년12월_계_40~49세","2015년12월_계_50~59세","2015년12월_계_60~69세","2015년12월_계_70~79세","2015년12월_계_80~89세","2015년12월_계_90~99세","2015년12월_계_100세 이상"
"대구광역시  (2700000000)","2,487,829","2,487,829","208,115","289,590","326,755","342,633","438,674","419,653","253,693","148,884","53,282","6,007","543"
"대구광역시 중구 (2711000000)","80,928","80,928","5,675","6,191","10,839","12,345","12,208","12,976","10,324","7,286","2,650","354","80"
"대구광역시 동구 (2714000000)","349,728","349,728","30,429","32,829","42,477","52,050","55,632","59,051","42,011","25,576","8,610","969","94"
"대구광역시 서구 (2717000000)","206,028","206,028","11,818","18,334","28,066","26,563","33,094","40,490","27,309","15,155","4,601","515","83"
"대구광역시 남구 (2720000000)","160,852","160,852","9,509","13,465","21,085","22,466","24,856","28,037","21,588","13,924","5,278","586","58"
"대구광역시 북구 (2723000000)","443,119","443,119","41,134","55,253","58,379","62,642","82,794","70,911","39,706","23,509","7,862","866","63"
"대구광역시 수성구 (2726000000)","451,786","451,786","36,056","66,608","57,910","52,203","87,041","73,361","41,640","25,439","10,264","1,190","74"
"대구광역시 달서구 (2729000000)","602,641","602,641","52,874","75,495","84,844","84,439","109,231","103,236","53,799","27,654","9,932","1,069","68"
"대구광역시 달성군 (2771000000)","192,747","192,747","20,620","21,415","23,155","29,925","33,818","31,591","17,316","10,341","4,085","458","23"
