"행정구역","2015년06월_계_총인구수","2015년06월_계_연령구간인구수","2015년06월_계_0~9세","2015년06월_계_10~19세","2015년06월_계_20~29세","2015년06월_계_30~39세","2015년06월_계_40~49세","2015년06월_계_50~59세","2015년06월_계_60~69세","2015년06월_계_70~79세","2015년06월_계_80~89세","2015년06월_계_90~99세","2015년06월_계_100세 이상"
"대구광역시  (2700000000)","2,491,137","2,491,137","208,510","298,238","325,243","347,671","442,636","416,491","244,882","150,100","51,063","5,783","520"
"대구광역시 중구 (2711000000)","80,793","80,793","5,666","6,368","10,777","12,331","12,173","13,035","10,117","7,366","2,533","350","77"
"대구광역시 동구 (2714000000)","349,742","349,742","30,436","33,855","42,285","52,739","55,926","58,861","40,636","25,770","8,209","937","88"
"대구광역시 서구 (2717000000)","207,902","207,902","11,944","19,293","28,222","27,152","34,131","40,508","26,374","15,295","4,379","523","81"
"대구광역시 남구 (2720000000)","162,168","162,168","9,658","14,037","21,215","22,976","25,269","28,329","20,983","14,054","5,026","567","54"
"대구광역시 북구 (2723000000)","443,447","443,447","41,286","56,907","57,965","63,674","83,201","70,009","38,314","23,645","7,549","836","61"
"대구광역시 수성구 (2726000000)","452,147","452,147","36,108","67,962","57,437","53,098","87,633","72,835","40,275","25,698","9,902","1,127","72"
"대구광역시 달서구 (2729000000)","606,232","606,232","53,549","78,056","84,694","86,613","110,761","102,235","51,762","27,928","9,562","1,005","67"
"대구광역시 달성군 (2771000000)","188,706","188,706","19,863","21,760","22,648","29,088","33,542","30,679","16,421","10,344","3,903","438","20"
