"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상"
"대구광역시  (2700000000)","2,427,954","2,427,954","183,631","230,453","322,265","300,366","387,880","427,621","316,981","173,456","75,574","9,024","703"
"대구광역시 중구 (2711000000)","76,984","76,984","5,342","5,097","11,866","11,041","10,813","11,432","10,126","7,373","3,324","469","101"
"대구광역시 동구 (2714000000)","342,627","342,627","25,923","27,046","41,737","44,676","51,576","57,362","50,182","29,976","12,578","1,448","123"
"대구광역시 서구 (2717000000)","172,802","172,802","7,941","11,362","22,023","17,999","23,512","34,955","30,371","17,108","6,681","750","100"
"대구광역시 남구 (2720000000)","147,482","147,482","7,052","9,705","20,370","17,462","20,672","25,328","23,649","15,112","7,151","897","84"
"대구광역시 북구 (2723000000)","438,608","438,608","34,805","44,367","61,048","54,527","73,327","77,610","51,864","27,865","11,799","1,310","86"
"대구광역시 수성구 (2726000000)","426,919","426,919","30,690","52,376","55,794","43,839","73,985","75,322","50,887","28,530","13,636","1,762","98"
"대구광역시 달서구 (2729000000)","565,378","565,378","42,006","56,915","80,365","68,579","91,267","104,991","71,393","33,827","14,306","1,645","84"
"대구광역시 달성군 (2771000000)","257,154","257,154","29,872","23,585","29,062","42,243","42,728","40,621","28,509","13,665","6,099","743","27"
