"행정구역","2018년06월_계_총인구수","2018년06월_계_연령구간인구수","2018년06월_계_0~9세","2018년06월_계_10~19세","2018년06월_계_20~29세","2018년06월_계_30~39세","2018년06월_계_40~49세","2018년06월_계_50~59세","2018년06월_계_60~69세","2018년06월_계_70~79세","2018년06월_계_80~89세","2018년06월_계_90~99세","2018년06월_계_100세 이상"
"대구광역시  (2700000000)","2,469,617","2,469,617","198,201","254,854","333,016","321,372","412,818","428,671","286,686","160,886","65,045","7,454","614"
"대구광역시 중구 (2711000000)","78,530","78,530","5,674","5,549","11,300","11,396","11,358","12,107","10,243","7,385","2,997","433","88"
"대구광역시 동구 (2714000000)","351,892","351,892","29,075","29,903","43,608","48,971","54,564","59,064","46,790","27,835","10,725","1,251","106"
"대구광역시 서구 (2717000000)","188,705","188,705","9,719","14,006","25,542","21,529","27,671","38,473","29,106","16,212","5,702","656","89"
"대구광역시 남구 (2720000000)","151,890","151,890","7,797","11,162","20,608","18,912","22,502","26,615","22,642","14,612","6,239","729","72"
"대구광역시 북구 (2723000000)","440,142","440,142","37,401","48,985","61,021","57,670","77,961","75,014","45,549","25,635","9,784","1,054","68"
"대구광역시 수성구 (2726000000)","435,468","435,468","32,508","57,880","58,097","46,528","79,395","74,095","46,530","26,830","12,104","1,404","97"
"대구광역시 달서구 (2729000000)","575,120","575,120","46,276","63,987","82,987","72,962","98,641","104,487","61,842","30,320","12,259","1,291","68"
"대구광역시 달성군 (2771000000)","247,870","247,870","29,751","23,382","29,853","43,404","40,726","38,816","23,984","12,057","5,235","636","26"
