"행정구역","2016년06월_계_총인구수","2016년06월_계_연령구간인구수","2016년06월_계_0~9세","2016년06월_계_10~19세","2016년06월_계_20~29세","2016년06월_계_30~39세","2016년06월_계_40~49세","2016년06월_계_50~59세","2016년06월_계_60~69세","2016년06월_계_70~79세","2016년06월_계_80~89세","2016년06월_계_90~99세","2016년06월_계_100세 이상"
"대구광역시  (2700000000)","2,484,864","2,484,864","207,370","281,340","328,240","337,813","434,018","421,576","263,286","148,349","56,089","6,218","565"
"대구광역시 중구 (2711000000)","80,732","80,732","5,706","6,057","11,003","12,091","12,202","12,762","10,477","7,226","2,758","368","82"
"대구광역시 동구 (2714000000)","350,996","350,996","30,602","32,085","42,867","51,554","55,514","59,130","43,528","25,521","9,124","971","100"
"대구광역시 서구 (2717000000)","202,891","202,891","11,568","17,392","27,467","25,614","32,070","40,197","28,085","15,028","4,852","531","87"
"대구광역시 남구 (2720000000)","158,638","158,638","9,231","12,883","20,841","21,707","24,410","27,588","22,088","13,749","5,493","589","59"
"대구광역시 북구 (2723000000)","442,083","442,083","40,263","53,962","58,912","61,194","81,899","71,843","41,266","23,525","8,255","893","71"
"대구광역시 수성구 (2726000000)","449,189","449,189","35,634","64,460","58,211","50,990","85,883","73,552","43,142","25,240","10,739","1,261","77"
"대구광역시 달서구 (2729000000)","595,287","595,287","51,405","72,622","84,414","81,480","106,828","103,352","55,940","27,534","10,526","1,120","66"
"대구광역시 달성군 (2771000000)","205,048","205,048","22,961","21,879","24,525","33,183","35,212","33,152","18,760","10,526","4,342","485","23"
