"행정구역","2019년06월_계_총인구수","2019년06월_계_연령구간인구수","2019년06월_계_0~9세","2019년06월_계_10~19세","2019년06월_계_20~29세","2019년06월_계_30~39세","2019년06월_계_40~49세","2019년06월_계_50~59세","2019년06월_계_60~69세","2019년06월_계_70~79세","2019년06월_계_80~89세","2019년06월_계_90~99세","2019년06월_계_100세 이상"
"대구광역시  (2700000000)","2,450,478","2,450,478","191,516","243,227","327,796","312,425","397,864","431,093","299,523","167,763","70,275","8,346","650"
"대구광역시 중구 (2711000000)","77,935","77,935","5,572","5,370","11,620","11,311","11,108","11,798","10,069","7,382","3,137","481","87"
"대구광역시 동구 (2714000000)","348,825","348,825","27,937","28,629","42,833","47,415","52,960","58,640","48,272","29,053","11,614","1,357","115"
"대구광역시 서구 (2717000000)","179,920","179,920","8,765","12,665","23,711","19,635","25,199","36,882","29,378","16,658","6,227","707","93"
"대구광역시 남구 (2720000000)","148,682","148,682","7,221","10,462","20,327","17,871","21,400","26,010","22,886","14,905","6,676","847","77"
"대구광역시 북구 (2723000000)","439,093","439,093","36,116","46,834","60,691","56,384","75,095","76,729","48,297","26,924","10,754","1,193","76"
"대구광역시 수성구 (2726000000)","430,481","430,481","31,376","55,090","56,987","45,226","76,047","74,962","48,484","27,763","12,866","1,585","95"
"대구광역시 달서구 (2729000000)","571,303","571,303","44,236","60,556","81,862","71,171","94,565","105,716","66,056","32,208","13,353","1,501","79"
"대구광역시 달성군 (2771000000)","254,239","254,239","30,293","23,621","29,765","43,412","41,490","40,356","26,081","12,870","5,648","675","28"
