"행정구역","2018년12월_계_총인구수","2018년12월_계_연령구간인구수","2018년12월_계_0~9세","2018년12월_계_10~19세","2018년12월_계_20~29세","2018년12월_계_30~39세","2018년12월_계_40~49세","2018년12월_계_50~59세","2018년12월_계_60~69세","2018년12월_계_70~79세","2018년12월_계_80~89세","2018년12월_계_90~99세","2018년12월_계_100세 이상"
"대구광역시  (2700000000)","2,461,769","2,461,769","194,953","249,672","330,845","317,978","404,270","431,143","292,750","164,586","67,069","7,875","628"
"대구광역시 중구 (2711000000)","79,401","79,401","5,744","5,583","11,670","11,653","11,368","12,107","10,215","7,464","3,055","457","85"
"대구광역시 동구 (2714000000)","351,291","351,291","28,571","29,313","43,532","48,399","53,666","59,146","47,617","28,551","11,097","1,289","110"
"대구광역시 서구 (2717000000)","184,372","184,372","9,287","13,294","24,698","20,686","26,316","37,819","29,113","16,513","5,877","674","95"
"대구광역시 남구 (2720000000)","150,501","150,501","7,520","10,849","20,423","18,483","21,908","26,357","22,849","14,833","6,410","793","76"
"대구광역시 북구 (2723000000)","439,489","439,489","36,774","48,006","60,735","57,192","76,298","75,980","46,874","26,241","10,171","1,147","71"
"대구광역시 수성구 (2726000000)","432,759","432,759","31,851","56,785","57,599","45,823","77,586","74,581","47,295","27,265","12,431","1,453","90"
"대구광역시 달서구 (2729000000)","573,413","573,413","45,262","62,415","82,364","72,346","96,358","105,563","63,772","31,240","12,610","1,407","76"
"대구광역시 달성군 (2771000000)","250,543","250,543","29,944","23,427","29,824","43,396","40,770","39,590","25,015","12,479","5,418","655","25"
