"행정구역","2017년12월_계_총인구수","2017년12월_계_연령구간인구수","2017년12월_계_0~9세","2017년12월_계_10~19세","2017년12월_계_20~29세","2017년12월_계_30~39세","2017년12월_계_40~49세","2017년12월_계_50~59세","2017년12월_계_60~69세","2017년12월_계_70~79세","2017년12월_계_80~89세","2017년12월_계_90~99세","2017년12월_계_100세 이상"
"대구광역시  (2700000000)","2,475,231","2,475,231","201,043","261,756","332,212","324,015","421,146","424,677","282,918","157,294","62,457","7,098","615"
"대구광역시 중구 (2711000000)","78,986","78,986","5,684","5,713","11,079","11,444","11,676","12,221","10,372","7,353","2,937","421","86"
"대구광역시 동구 (2714000000)","349,379","349,379","29,152","30,251","43,198","48,686","54,834","58,432","46,198","27,104","10,266","1,154","104"
"대구광역시 서구 (2717000000)","191,992","191,992","10,094","14,834","25,957","22,318","28,882","38,710","29,121","15,904","5,477","606","89"
"대구광역시 남구 (2720000000)","152,845","152,845","8,146","11,504","20,564","19,392","22,980","26,579","22,641","14,271","6,016","686","66"
"대구광역시 북구 (2723000000)","441,375","441,375","38,234","50,177","60,746","58,154","79,759","74,037","44,839","25,055","9,301","1,004","69"
"대구광역시 수성구 (2726000000)","439,211","439,211","33,093","59,870","58,191","47,276","81,712","73,473","45,956","26,429","11,725","1,385","101"
"대구광역시 달서구 (2729000000)","578,068","578,068","47,426","66,056","83,007","74,245","100,952","103,297","60,559","29,453","11,746","1,254","73"
"대구광역시 달성군 (2771000000)","243,375","243,375","29,214","23,351","29,470","42,500","40,351","37,928","23,232","11,725","4,989","588","27"
